Placa,Fabricação,Combustível,Planta do Veículo,Modelo,Carroceria,Chassi,Nº do Chassi,Ordem,Tipo de Veículo,Data Inclusão
LPE3702,2008,Diesel,2301,OF-1418,MARCOPOLO SENIOR,MERCEDES BENZ,9BM3840678B583313,B11715 ,28 MICROMASTER URB. S/AR,09/11/10 18:06
KOP4980,2011,Diesel,2830,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB840554,B11716 ,28 MIDIONBUS URBAN S/AR C/ELEV,31/01/12 18:07
KOP4991,2011,Diesel,2830,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB840858,B11717 ,28 MIDIONBUS URBAN S/AR C/ELEV,31/01/12 18:07
KNT2642,2008,Diesel,2440,OF-1418,INDUSCAR - CAIO,MERCEDES BENZ,9BM3840678B619143,B11718 ,28 MICROMASTER URB. S/AR,09/11/10 18:06
LQW2107,2013,Diesel,2935,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB916707,B11719 ,52 MIDI URB S/AR C/ELEV 2 CATR,10/09/13 11:39
LST4357,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855251,B11720 ,28 MIDIONBUS URBAN S/AR C/ELEV,02/08/12 12:50
KQY2463,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855209,B11721 ,28 MIDIONBUS URBAN S/AR C/ELEV,02/08/12 12:50
LTP4288,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855204,B11722 ,28 MIDIONBUS URBAN S/AR C/ELEV,02/08/12 12:51
KPA4482,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855226,B11723 ,28 MIDIONBUS URBAN S/AR C/ELEV,02/08/12 12:51
LTH4150,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855255,B11724 ,28 MIDIONBUS URBAN S/AR C/ELEV,26/07/12 11:19
KWR4901,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855274,B11725 ,28 MIDIONBUS URBAN S/AR C/ELEV,26/07/12 11:22
KQU2038,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855272,B11726 ,28 MIDIONBUS URBAN S/AR C/ELEV,26/07/12 11:26
KQW2083,2012,Diesel,2848,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067CB855246,B11727 ,28 MIDIONBUS URBAN S/AR C/ELEV,26/07/12 11:28
KPH4841,2013,Diesel,2900,MBB OF 1519 EURO V,INDUSCAR - CAIO,MERCEDES BENZ,9BM384067DB890851,B11728 ,48 MIDI URB S/AR C/ELEV S/COBR,14/03/13 10:07
LPK9992,2009,Diesel,2637,OF-1418,NEOBUS - SAN MARINO,MERCEDES BENZ,9BM3840679B662917,B11729 ,28 MIDIONBUS URBAN S/AR C/ELEV,09/11/10 18:06
KYU1711,2008,Diesel,2521,VW 15190 EOD,MASCARELLO,VOLKSWAGEN,9BWR882W38R838732,B19501 ,28 MICROMASTER URB. S/AR,09/11/10 18:06
LVA8254,2006,Diesel,2338,15.180 EOD,COMIL,VOLKSWAGEN,9BWR682WX6R620810,B19502 ,30 ONIBUS URBANO,09/11/10 18:06
KVP8933,2011,Diesel,2832,VW 17230 EOD,MASCARELLO,VOLKSWAGEN,9532L82W9CR205506,B19503 ,30 ONBUS BASIC URB S/AR C/ELEV,17/02/12 14:55
LUZ9459,2006,Diesel,2339,15.180 EOD,COMIL,VOLKSWAGEN,9BWR682W86R632275,B19504 ,30 ONIBUS URBANO,09/11/10 18:06
LPB1911,2006,Diesel,2394,15.180 EOD,MASCARELLO,VOLKSWAGEN,9BWR682W56R627206,B19505 ,28 MICROMASTER URB. S/AR,09/11/10 18:06
KVP9084,2011,Diesel,2832,VW 17230 EOD,MASCARELLO,VOLKSWAGEN,9532L82W6CR205494,B19506 ,30 ONBUS BASIC URB S/AR C/ELEV,24/02/12 15:26
LRT3887,2011,Diesel,2832,VW 17230 EOD,MASCARELLO,VOLKSWAGEN,9532L82W7BR169751,B19507 ,30 ONBUS BASIC URB S/AR C/ELEV,24/02/12 15:27
LUZ9462,2006,Diesel,2339,15.180 EOD,COMIL,VOLKSWAGEN,9BWR682W16R632375,B19509 ,30 ONIBUS URBANO,09/11/10 18:06
KVP9080,2011,Diesel,2832,VW 17230 EOD,MASCARELLO,VOLKSWAGEN,9532L82W6BR169790,B19510 ,30 ONBUS BASIC URB S/AR C/ELEV,24/02/12 15:27
KUP7642,2006,Diesel,2339,15.180 EOD,COMIL,VOLKSWAGEN,9BWR682W16R632697,B19511 ,30 ONIBUS URBANO,09/11/10 18:06
LQT1802,2006,Diesel,2394,15.180 EOD,MASCARELLO,VOLKSWAGEN,9BWR682W56R634948,B19512 ,28 MICROMASTER URB. S/AR,09/11/10 18:06
KZW9594,2006,Diesel,2339,15.180 EOD,COMIL,VOLKSWAGEN,9BWR682W26R632384,B19513 ,30 ONIBUS URBANO,09/11/10 18:06
LQP3782,2011,Diesel,2832,VW 17230 EOD,MASCARELLO,VOLKSWAGEN,9532L82W2BR169723,B19514 ,30 ONBUS BASIC URB S/AR C/ELEV,24/02/12 15:28
LUZ9464,2006,Diesel,2339,15.180 EOD,COMIL,VOLKSWAGEN,9BWR682W96R632544,B19515 ,30 ONIBUS URBANO,09/11/10 18:06
LVB9464,2006,Diesel,2339,15.180 EOD,COMIL,VOLKSWAGEN,9BWR682W86R6322750,B19516 ,30 ONIBUS URBANO,09/11/10 18:06
